"peak count" "year" "month" "day"
9301 2017 4 4
9448 2017 4 4
9428 2017 4 4
9848 2017 4 4
9531 2017 4 4
9516 2017 4 4
9789 2017 4 5
8376 2017 4 5
9748 2017 4 5
7643 2017 4 5
8145 2017 4 5
9598 2017 4 5
7467 2017 4 5
9929 2017 4 5
9510 2017 4 5
8130 2017 4 5
8677 2017 4 19
9207 2017 4 19
8643 2017 4 19
8830 2017 4 19
9018 2017 4 19
9051 2017 4 19
9141 2017 4 19
9370 2017 4 19
9349 2017 4 19
9259 2017 4 19
9227 2017 4 21
9123 2017 4 21
8903 2017 4 21
9243 2017 4 21
8916 2017 4 21
8940 2017 4 21
9375 2017 4 21
9159 2017 4 21
9565 2017 4 21
9217 2017 4 21
8789 2017 5 2
9014 2017 5 2
8646 2017 5 2
8410 2017 5 2
8511 2017 5 2
8698 2017 5 2
6209 2017 5 2
9064 2017 5 2
8825 2017 5 2
8955 2017 5 2
8579 2017 5 3
8953 2017 5 3
9116 2017 5 3
8767 2017 5 3
8924 2017 5 3
8758 2017 5 3
6868 2017 5 3
9255 2017 5 3
8938 2017 5 3
9089 2017 5 3
9280 2017 5 4
8693 2017 5 4
8824 2017 5 4
9217 2017 5 4
8677 2017 5 4
8704 2017 5 4
6490 2017 5 4
8949 2017 5 4
8231 2017 5 4
8811 2017 5 4
8857 2017 5 5
7887 2017 5 5
8860 2017 5 5
8744 2017 5 5
9127 2017 5 5
7446 2017 5 5
7087 2017 5 5
8761 2017 5 5
7362 2017 5 5
9190 2017 5 5
8696 2017 5 15
8760 2017 5 15
8302 2017 5 15
8541 2017 5 15
8313 2017 5 15
8737 2017 5 15
6919 2017 5 15
8615 2017 5 15
8759 2017 5 15
8541 2017 5 15
6406 2017 5 16
8688 2017 5 16
6129 2017 5 16
6121 2017 5 16
8111 2017 5 16
8342 2017 5 16
6502 2017 5 16
8638 2017 5 16
8560 2017 5 16
8638 2017 5 16
6521 2017 5 17
8566 2017 5 17
5628 2017 5 17
6578 2017 5 17
8513 2017 5 17
8308 2017 5 17
6489 2017 5 17
6669 2017 5 17
6676 2017 5 17
8745 2017 5 17
8748 2017 5 18
8684 2017 5 18
8691 2017 5 18
8774 2017 5 18
8505 2017 5 18
8698 2017 5 18
8735 2017 5 18
8800 2017 5 18
8748 2017 5 18
8627 2017 5 18
8765 2017 5 19
9111 2017 5 19
8558 2017 5 19
8891 2017 5 19
9031 2017 5 19
9078 2017 5 19
9242 2017 5 19
9226 2017 5 19
9211 2017 5 19
9225 2017 5 19
7681 2017 5 29
8203 2017 5 29
7535 2017 5 29
7773 2017 5 29
7816 2017 5 29
7984 2017 5 29
8214 2017 5 29
8437 2017 5 29
8262 2017 5 29
8290 2017 5 29
8480 2017 5 30
